Loop/Rec Name,Field Name,Description,Type,Dec,Format,Start,End,Length,Occ,Mapped,Default Value,Correlation,Comments,Spec Logic
,N3S_N302,,AN,,,62,116,55,O,,,,,
,N3S_FILLER,,AN,,,117,1140,1024,O,,,,,
N4S,,,RC,,,,,,0 .. 1,,,,,
,N4S_RecordID,,RT,,,1,4,4,M,,"""N4""","""N4""",,
,N4S_FLR1,,AN,,,5,5,1,O,,,,,
,N4S_N401,,AN,,,6,35,30,O,,,,,
,N4S_FLR2,,AN,,,36,36,1,O,,,,,
,N4S_N402,,AN,,,37,38,2,O,,,,,
,N4S_FLR3,,AN,,,39,39,1,O,,,,,
,N4S_N403,,AN,,,40,54,15,O,,,,,
,N4S_FLR4,,AN,,,55,55,1,O,,,,,
,N4S_N404,,AN,,,56,58,3,O,,,,,
,N4S_FLR5,,AN,,,59,59,1,O,,,,,
,N4S_N405,,AN,,,60,61,2,O,,,,,
,N4S_FLR6,,AN,,,62,62,1,O,,,,,
,N4S_N406,,AN,,,63,92,30,O,,,,,
,N4S_FLR7,,AN,,,93,93,1,O,,,,,
,N4S_N407,,AN,,,94,96,3,O,,,,,
,N4S_FILLER,,AN,,,97,1120,1024,O,,,,,
END_N1S_GRP,,,LE,,,,,,,,,,,
END_S5_GRP,,,LE,,,,,,,,,,,
LX_GRP,,,LS,,,,,,0 .. *,,,,,
LX,,,RC,,,,,,0 .. 1,,"""LX""","""LX""",,
,LX_RecordID,,RT,,,1,4,4,M,,,,,
,LX_FLR1,,AN,,,5,5,1,O,,,,,
,LX01,,N,,N0,6,11,6,O,,,,,
,LX_FILLER,,AN,,,12,1035,1024,O,,,,,
N9X,,,RC,,,,,,0 .. *,,,,,
,N9X_RecID,,RT,,,1,4,4,M,,"""N9X""","""N9X""",,
,N9X_FLR1,,AN,,,5,5,1,O,,,,,
,N9X01,,AN,,,6,8,3,O,,,,,
,N9X_FLR2,,AN,,,9,9,1,O,,,,,
,N9X02,,AN,,,10,39,30,O,,,,,
,N9X_FLR3,,AN,,,40,40,1,O,,,,,
,N9X03,,AN,,,41,85,45,O,,,,,
,N9X_FLR4,,AN,,,86,86,1,O,,,,,
,N9X04,,AN,,,87,94,8,O,,,,,
,N9X_FILLER,,AN,,,95,1118,1024,O,,,,,
POD,,,RC,,,,,,0 .. 1,,,,,
,POD_RecID,,RT,,,1,4,4,M,,"""POD""","""POD""",,
,POD_FLR1,,AN,,,5,5,1,O,,,,,
,POD01,,AN,,,6,13,8,O,,,,,
,POD_FLR2,,AN,,,14,14,1,O,,,,,
,POD02,,AN,,,15,22,8,O,,,,,
,POD_FLR3,,AN,,,23,23,1,O,,,,,
,POD03,,AN,,,24,83,60,O,,,,,
,POD_FILLER,,AN,,,84,1107,1024,O,,,,,
L11,,,RC,,,,,,0 .. 1,,,,,
,L11L_RecordID,,RT,,,1,4,4,M,,"""L11""","""L11""",,
,L11L_FLR1,,AN,,,5,5,1,O,,,,,
,L11L_L1101,,AN,,,6,55,50,O,,,,,
,L11L_FLR2,,AN,,,56,56,1,O,,,,,
,L11L_L1102,,AN,,,57,59,3,O,,,,,
,L11L_FLR3,,AN,,,60,60,1,O,,,,,
,L11L_L1103,,AN,,,61,140,80,O,,,,,
,L11L_FLR4,,AN,,,141,141,1,O,,,,,
,L11L_L1104,,DT,,YYYYMMDD,142,149,8,O,,,,,
,L11L_FLR5,,AN,,,150,150,1,O,,,,,
,L11L_L1105,,AN,,,151,151,1,O,,,,,
,L11L_FILLER,,AN,,,152,1175,1024,O,,,,,
L5,,,RC,,,,,,0 .. 1,,,,,
,L5_RecordID,,RT,,,1,4,4,M,,"""L5""","""L5""",,
,L5_FLR1,,AN,,,5,5,1,O,,,,,
,L501,,N,,N0,6,8,3,O,,,,,
,L5_FLR2,,AN,,,9,9,1,O,,,,,
,L502,,AN,,,10,59,50,O,,,,,
,L5_FLR3,,AN,,,60,60,1,O,,,,,
,L503,,AN,,,61,90,30,O,,,,,
,L5_FLR4,,AN,,,91,91,1,O,,,,,
,L504,,AN,,,92,92,1,O,,,,,
,L5_FLR5,,AN,,,93,93,1,O,,,,,
,L505,,AN,,,94,98,5,O,,,,,
,L5_FLR6,,AN,,,99,99,1,O,,,,,
,L506,,AN,,,100,147,48,O,,,,,
,L5_FLR7,,AN,,,148,148,1,O,,,,,
,L507,,AN,,,149,150,2,O,,,,,
,L5_FLR8,,AN,,,151,151,1,O,,,,,
,L508,,AN,,,152,152,1,O,,,,,
,L5_FLR9,,AN,,,153,153,1,O,,,,,
,L509,,AN,,,154,183,30,O,,,,,
,L5_FLR10,,AN,,,184,184,1,O,,,,,
,L510,,AN,,,185,185,1,O,,,,,
,L5_FILLER,,AN,,,186,1209,1024,O,,,,,
H1,,,RC,,,,,,0 .. 1,,,,,
,H1_RecID,,RT,,,1,4,4,M,,"""H1""","""H1""",,
,H1_FLR1,,AN,,,5,5,1,O,,,,,
,H101,,AN,,,6,15,10,O,,,,,
,H1_FLR2,,AN,,,16,16,1,O,,,,,
,H102,,AN,,,17,20,4,O,,,,,
,H1_FLR3,,AN,,,21,21,1,O,,,,,
,H103,,AN,,,22,22,1,O,,,,,
,H1_FILLER,,AN,,,21,1044,1024,O,,,,,
L0,,,RC,,,,,,0 .. *,,,,,
,L0_RecordID,,RT,,,1,4,4,M,,"""L0""","""L0""",,
,L0_FLR1,,AN,,,5,5,1,O,,,,,
,L001,,N,,N0,6,8,3,O,,,,,
,L0_FLR2,,AN,,,9,9,1,O,,,,,
,L002,,N,,R,10,20,11,O,,,,,
,L0_FLR3,,AN,,,21,21,1,O,,,,,
,L003,,AN,,,22,23,2,O,,,,,
,L0_FLR4,,AN,,,24,24,1,O,,,,,
,L004,,N,,R,25,34,10,O,,,,,
,L0_FLR5,,AN,,,35,35,1,O,,,,,
,L005,,AN,,,36,37,2,O,,,,,
,L0_FLR6,,AN,,,38,38,1,O,,,,,
,L006,,N,,R,39,46,8,O,,,,,
,L0_FLR7,,AN,,,47,47,1,O,,,,,
,L007,,AN,,,48,48,1,O,,,,,
,L0_FLR8,,AN,,,49,49,1,O,,,,,
,L008,,N,,N0,50,56,7,O,,,,,
,L0_FLR9,,AN,,,57,57,1,O,,,,,
,L009,,AN,,,58,60,3,O,,,,,
,L0_FLR10,,AN,,,61,61,1,O,,,,,
,L010,,AN,,,62,86,25,O,,,,,
,L0_FLR11,,AN,,,87,87,1,O,,,,,
,L011,,AN,,,88,88,1,O,,,,,
,L0_FLR12,,AN,,,89,89,1,O,,,,,
,L012,,AN,,,90,91,2,O,,,,,
,L0_FLR13,,AN,,,92,92,1,O,,,,,
,L013,,N,,R,93,107,15,O,,,,,
,L0_FLR14,,AN,,,108,108,1,O,,,,,
,L014,,AN,,,109,111,3,O,,,,,
,L0_FLR15,,AN,,,112,112,1,O,,,,,
,L015,,AN,,,113,113,1,O,,,,,
,L0_FILLER,,AN,,,114,1137,1024,O,,,,,
L1,,,RC,,,,,,0 .. *,,,,,
,L1_RecordID,,AN,,,1,4,4,M,,"""L1""","""L1""",,
,L1_FLR1,,AN,,,5,5,1,O,,,,,
,L101,,N,,N0,6,8,3,O,,,,,
,L1_FLR2,,AN,,,9,9,1,O,,,,,
,L102,,N,,R,10,20,11,O,,,,,
,L1_FLR3,,AN,,,21,21,1,O,,,,,
,L103,,AN,,,22,23,2,O,,,,,
,L1_FLR4,,AN,,,24,24,1,O,,,,,
,L104,,N,,N2,25,39,15,O,,,,,
,L1_FLR5,,AN,,,40,40,1,O,,,,,
,L105,,N,,N2,41,49,9,O,,,,,
,L1_FLR6,,AN,,,50,50,1,O,,,,,
,L106,,N,,N2,51,65,15,O,,,,,
,L1_FLR7,,AN,,,66,66,1,O,,,,,
,L107,,AN,,,67,80,14,O,,,,,
,L1_FLR8,,AN,,,81,81,1,O,,,,,
,L108,,AN,,,82,84,3,O,,,,,
,L1_FLR9,,AN,,,85,85,1,O,,,,,
,L109,,AN,,,86,88,3,O,,,,,
,L1_FLR10,,AN,,,89,89,1,O,,,,,
,L110,,AN,,,90,90,1,O,,,,,
,L1_FLR11,,AN,,,91,91,1,O,,,,,
,L111,,AN,,,92,92,1,O,,,,,
,L1_FLR12,,AN,,,93,93,1,O,,,,,
,L112,,AN,,,94,118,25,O,,,,,
,L1_FLR13,,AN,,,119,119,1,O,,,,,
,L113,,AN,,,120,120,1,O,,,,,
,L1_FLR14,,AN,,,121,121,1,O,,,,,
,L114,,N,,N2,122,133,12,O,,,,,
,L1_FLR15,,AN,,,134,134,1,O,,,,,
,L115,,AN,,,135,136,2,O,,,,,
,L1_FLR16,,AN,,,137,137,1,O,,,,,
,L116,,AN,,,138,138,1,O,,,,,
,L1_FLR17,,AN,,,139,139,1,O,,,,,
,L117,,N,,R,140,150,11,O,,,,,
,L1_FLR18,,AN,,,151,151,1,O,,,,,
,L118,,AN,,,152,153,2,O,,,,,
,L1_FLR19,,AN,,,154,154,1,O,,,,,
,L119,,N,,R,155,164,10,O,,,,,
,L1_FLR20,,AN,,,165,165,1,O,,,,,
,L120,,AN,,,166,168,3,O,,,,,
,L1_FLR21,,AN,,,169,169,1,O,,,,,
,L121,,N,,N2,170,184,15,O,,,,,
,L1_FLR22,,AN,,,185,185,1,O,,,,,
,L122,,N,,R,186,194,9,O,,,,,
,L1_FILLER,,AN,,,195,1218,1024,O,,,,,
L4,,,RC,,,,,,0 .. 1,,,,,
,L4_RecordID,,RT,,,1,4,4,M,,"""L4""","""L4""",,
,L4_FLR1,,AN,,,5,5,1,O,,,,,
,L401,,N,R,,6,13,8,O,,,,,
,L4_FLR2,,AN,,,14,14,1,O,,,,,
,L402,,N,R,,15,22,8,O,,,,,
,L4_FLR3,,AN,,,23,23,1,O,,,,,
,L403,,N,R,,24,31,8,O,,,,,
,L4_FLR4,,AN,,,32,32,1,O,,,,,
,L404,,AN,,,33,33,1,O,,,,,
,L4_FLR5,,AN,,,34,34,1,O,,,,,
,L405,,N,R,,35,49,15,O,,,,,
,L4_FLR6,,AN,,,50,50,1,O,,,,,
,L406,,AN,,,51,80,30,O,,,,,
,L4_FILLER,,AN,,,81,1104,1024,O,,,,,
L7,,,RC,,,,,,0 .. 1,,,,,
,L7_RecordID,,RT,,,1,4,4,M,,"""L7""","""L7""",,
,L7_FLR1,,AN,,,5,5,1,O,,,,,
,L701,,N,,N0,6,8,3,O,,,,,
,L7_FLR2,,AN,,,9,9,1,O,,,,,
,L702,,AN,,,10,13,4,O,,,,,
,L7_FLR3,,AN,,,14,14,1,O,,,,,
,L703,,AN,,,15,21,7,O,,,,,
,L7_FLR4,,AN,,,22,22,1,O,,,,,
,L704,,AN,,,23,24,2,O,,,,,
,L7_FLR5,,AN,,,25,25,1,O,,,,,
,L705,,AN,,,26,41,16,O,,,,,
,L7_FLR6,,AN,,,42,42,1,O,,,,,
,L706,,N,,N0,43,44,2,O,,,,,
,L7_FLR7,,AN,,,45,45,1,O,,,,,
,L707,,AN,,,46,50,5,O,,,,,
,L7_FLR8,,AN,,,51,51,1,O,,,,,
,L708,,AN,,,52,55,4,O,,,,,
,L7_FLR9,,AN,,,56,56,1,O,,,,,
,L709,,AN,,,57,60,4,O,,,,,
,L7_FLR10,,AN,,,61,61,1,O,,,,,
,L710,,DT,,YYYYMMDD,62,69,8,O,,,,,
,L7_FLR11,,AN,,,70,70,1,O,,,,,
,L711,,AN,,,71,86,16,O,,,,,
,L7_FLR12,,AN,,,87,87,1,O,,,,,
,L712,,AN,,,88,89,2,O,,,,,
,L7_FLR13,,AN,,,90,90,1,O,,,,,
,L713,,N,,N0,91,95,5,O,,,,,
,L7_FLR14,,AN,,,96,96,1,O,,,,,
,L714,,AN,,,97,97,1,O,,,,,
,L7_FLR15,,AN,,,98,98,1,O,,,,,
,L715,,AN,,,99,128,30,O,,,,,
,L7_FLR16,,AN,,,129,129,1,O,,,,,
,L716,,AN,,,130,131,2,O,,,,,
,L7_FILLER,,AN,,,132,1155,1024,O,,,,,
K1X,,,RC,,,,,,0 .. 1,,,,,
,K1X_RecID,,RT,,,1,4,4,M,,"""K1X""","""K1X""",,
,K1X_FLR1,,AN,,,5,5,1,O,,,,,
,K1X01,,AN,,,6,35,30,O,,,,,
,K1X_FLR2,,AN,,,36,36,1,O,,,,,
,K1X02,,AN,,,37,66,30,O,,,,,
,K1X_FILLER,,AN,,,67,1090,1024,O,,,,,
N1X_GRP,,,LS,,,,,,0 .. *,,,,,
N1X,,,RC,,,,,,0 .. 1,,,,,
,N1X_RecordID,,RT,,,1,4,4,M,,"""N1X""","""N1X""",,
,N1X_FLR1,,AN,,,5,5,1,O,,,,,
,N1X_N101,,AN,,,6,8,3,O,,,,,
,N1X_FLR2,,AN,,,9,9,1,O,,,,,
,N1X_N102,,AN,,,10,69,60,O,,,,,
,N1X_FLR3,,AN,,,70,70,1,O,,,,,
,N1X_N103,,AN,,,71,72,2,O,,,,,
,N1X_FLR4,,AN,,,73,73,1,O,,,,,
,N1X_N104,,AN,,,74,153,80,O,,,,,
,N1X_FLR5,,AN,,,154,154,1,O,,,,,
,N1X_N105,,AN,,,155,156,2,O,,,,,
,N1X_FLR6,,AN,,,157,157,1,O,,,,,
,N1X_N106,,AN,,,158,160,3,O,,,,,
,N1X_FILLER,,AN,,,161,1184,1024,O,,,,,
N2X,,,RC,,,,,,0 .. 1,,,,,
,N2X_RecordID,,RT,,,1,4,4,M,,"""N2X""","""N2X""",,
,N2X_FLR1,,AN,,,5,5,1,O,,,,,
,N2X_N201,,AN,,,6,65,60,O,,,,,
,N2X_FLR2,,AN,,,66,66,1,O,,,,,
,N2X_N202,,AN,,,67,126,60,O,,,,,
,N2X_FILLER,,AN,,,127,1150,1024,O,,,,,
N3X,,,RC,,,,,,0 .. 1,,,,,
,N3X_RecordID,,RT,,,1,4,4,M,,"""N3X""","""N3X""",,
,N3X_FLR1,,AN,,,5,5,1,O,,,,,
,N3X_N301,,AN,,,6,60,55,O,,,,,
,N3X_FLR2,,AN,,,61,61,1,O,,,,,
,N3X_N302,,AN,,,62,116,55,O,,,,,
,N3X_FILLER,,AN,,,117,1140,1024,O,,,,,
N4X,,,RC,,,,,,0 .. 1,,,,,
,N4X_RecordID,,RT,,,1,4,4,M,,"""N4X""","""N4X""",,
,N4X_FLR1,,AN,,,5,5,1,O,,,,,
,N4X_N401,,AN,,,6,35,30,O,,,,,
,N4X_FLR2,,AN,,,36,36,1,O,,,,,
,N4X_N402,,AN,,,37,38,2,O,,,,,
,N4X_FLR3,,AN,,,39,39,1,O,,,,,
,N4X_N403,,AN,,,40,54,15,O,,,,,
,N4X_FLR4,,AN,,,55,55,1,O,,,,,
,N4X_N404,,AN,,,56,58,3,O,,,,,
,N4X_FLR5,,AN,,,59,59,1,O,,,,,
,N4X_N405,,AN,,,60,61,2,O,,,,,
,N4X_FLR6,,AN,,,62,62,1,O,,,,,
,N4X_N406,,AN,,,63,92,30,O,,,,,
,N4X_FLR7,,AN,,,93,93,1,O,,,,,
,N4X_N407,,AN,,,94,96,3,O,,,,,
,N4X_FILLER,,AN,,,97,1120,1024,O,,,,,
CD3_GRP,,,LS,,,,,,0 .. *,,,,,
CD3,,,RC,,,,,,0 .. 1,,,,,
,CD3_RecordID,,RT,,,1,4,4,M,,"""CD3""","""CD3""",,
,CD3_FLR1,,AN,,,5,5,1,O,,,,,
,CD3_N401,,AN,,,6,8,3,O,,,,,
,CD3_FLR2,,AN,,,9,9,1,O,,,,,
,CD3_N402,,AN,,,10,19,10,O,,,,,
,CD3_FLR3,,AN,,,20,20,1,O,,,,,
,CD3_N403,,AN,,,21,23,3,O,,,,,
,CD3_FLR4,,AN,,,24,24,1,O,,,,,
,CD3_N404,,AN,,,25,32,8,O,,,,,
,CD3_FLR5,,AN,,,33,33,1,O,,,,,
,CD3_N405,,AN,,,34,35,2,O,,,,,
,CD3_FILLER,,AN,,,36,1059,1024,O,,,,,
G62X,,,RC,,,,,,0 .. 1,,,,,
,G62X_RecordID,,RT,,,1,4,4,M,,"""G62X""","""G62X""",,
,G62X_FLR1,,AN,,,5,5,1,O,,,,,
,G62X_N401,,AN,,,6,7,2,O,,,,,
,G62X_FLR2,,AN,,,8,8,1,O,,,,,
,G62X_N402,,DT,,YYYYMMDD,9,16,8,O,,,,,
,G62X_FLR3,,AN,,,17,17,1,O,,,,,
,G62X_N403,,AN,,,18,19,2,O,,,,,
,G62X_FLR4,,AN,,,20,20,1,O,,,,,
,G62X_N404,,TM,,HHMMSS,21,28,8,O,,,,,
,G62X_FLR5,,AN,,,29,29,1,O,,,,,
,G62X_N405,,AN,,,30,31,2,O,,,,,
,G62X_FILLER,,AN,,,32,1055,1024,O,,,,,
END_CD3_GRP,,,LE,,,,,,,,,,,
END_N1X_GRP,,,LE,,,,,,,,,,,
END_LX_GRP,,,LE,,,,,,,,,,,
L3,,,RC,,,,,,0 .. 1,,,,,
,L3_RecordID,,RT,,,1,4,4,,,"""L3""","""L3""",,
,L3_FLR1,,AN,,,5,5,1,,,,,,
,L301,,N,,R,6,15,10,,,,,,
,L3_FLR2,,AN,,,16,16,1,,,,,,
,L302,,AN,,,17,18,2,,,,,,
,L3_FLR3,,AN,,,19,19,1,,,,,,
,L303,,N,,R,20,28,9,,,,,,
,L3_FLR4,,AN,,,29,29,1,,,,,,
,L304,,AN,,,30,31,2,,,,,,
,L3_FLR5,,AN,,,32,32,1,,,,,,
,L305,,N,,N2,33,47,15,,,,,,
,L3_FLR6,,AN,,,48,48,1,,,,,,
,L306,,N,,N2,49,57,9,,,,,,
,L3_FLR7,,AN,,,58,58,1,,,,,,
,L307,,N,,N2,59,73,15,,,,,,
,L3_FLR8,,AN,,,74,74,1,,,,,,
,L308,,AN,,,75,77,3,,,,,,
,L3_FLR9,,AN,,,78,78,1,,,,,,
,L309,,N,,R,79,86,8,,,,,,
,L3_FLR10,,AN,,,87,87,1,,,,,,
,L310,,AN,,,88,88,1,,,,,,
,L3_FLR11,,AN,,,89,89,1,,,,,,
,L311,,N,,N0,90,96,7,,,,,,
,L3_FLR12,,AN,,,97,97,1,,,,,,
,L312,,AN,,,98,98,1,,,,,,
,L3_FLR13,,AN,,,99,99,1,,,,,,
,L313,,AN,,,100,106,7,,,,,,
,L3_FLR14,,AN,,,107,107,1,,,,,,
,L314,,N,,N2,108,119,12,,,,,,
,L3_FLR15,,AN,,,120,120,1,,,,,,
,L315,,AN,,,121,122,2,,,,,,
,L3_FILLER,,AN,,,123,1146,1024,,,,,,
END_B3_GRP,,,LE,,,,,,,,,,,
SE,,,RS,,,,,,1 .. 1,,,,,
,SE_RecordID,,RT,,,1,4,4,M,,"""SE""","""SE""",,
,SE_FLR,,AN,,,5,5,1,O,,,,,
,SE_TPCode,,AN,,,6,25,20,O,,,,,
,SE_FILLER,,AN,,,26,1049,1024,0,,,,,
END_ST_GRP,,,LE,,,,,,,,,,,
END_Document,,,LE,,,,,,,,,,LOOP END - Document,
